Cluster ID,MergeJoinTransform_JoinType,ExpressionTransform_InputName,xml_filename,MergeJoinTransform_JoinCondition_@JoinExpression,LookupTransform_LookupCondition_@JoinExpression,FlatFileSource_Name__FlatFileSource_ConnectionName__OleDbSource_Name__OleDbDestination_Name__FlatFileDestination_Name__FlatFileDestination_ConnectionName__LookupTransform_LookupSource_@Name,MergeJoinTransform_JoinInput_0_@SourceName__OleDbDestination_Property_0_@Name,MergeJoinTransform_JoinInput_1_@SourceName__OleDbDestination_Property_1_@Name,OleDbDestination_Property_0_#text__OleDbDestination_Property_1_#text
0,OuterJoin,LookUp,xml1.xml,ProductData.PromotionID  = InventoryData.PromotionID ,MergedData.CategoryID  = CategoryCatalog.CategoryID ,CategoryCatalog,CategoryCatalog,PromotionDetails,ProcessedCategoryCatalog
0,LeftJoin,Sort,xml1.xml,ProductData.PromotionID  = InventoryData.PromotionID ,MergedData.CategoryID  = PromotionDetails.CategoryID ,PromotionDetails,CategoryCatalog,PromotionDetails,ProcessedCategoryCatalog
1,RightJoin,Merge,xml2.xml,ProductData.PricingID  = InventoryData.PricingID ,MergedData.CompetitorID  = CompetitorAnalysis.CompetitorID ,CompetitorAnalysis,CompetitorAnalysis,CompetitorPricing,ProcessedCompetitorAnalysis
1,InnerJoin,UnionAll,xml2.xml,ProductData.PricingID  = InventoryData.PricingID ,MergedData.CompetitorID  = CompetitorPricing.CompetitorID ,CompetitorPricing,CompetitorAnalysis,CompetitorPricing,ProcessedCompetitorAnalysis
4,LeftJoin,LookUp,xml3.xml,ProductData.ComplianceID  = InventoryData.ComplianceID ,MergedData.RecordID  = ComplianceRecords.RecordID ,ComplianceRecords,ComplianceRecords,LegalCompliance,ProcessedComplianceRecords
4,RightJoin,MergeJoin,xml3.xml,ProductData.ComplianceID  = InventoryData.ComplianceID ,MergedData.RecordID  = LegalCompliance.RecordID ,LegalCompliance,ComplianceRecords,LegalCompliance,ProcessedComplianceRecords
5,InnerJoin,MultiCast,xml4.xml,ProductData.LoyaltyID  = InventoryData.LoyaltyID ,MergedData.AcquisitionID  = CustomerAcquisition.AcquisitionID ,CustomerAcquisition,CustomerAcquisition,CustomerLoyalty,ProcessedCustomerAcquisition
5,OuterJoin,UnionAll,xml4.xml,ProductData.LoyaltyID  = InventoryData.LoyaltyID ,MergedData.AcquisitionID  = CustomerLoyalty.AcquisitionID ,CustomerLoyalty,CustomerAcquisition,CustomerLoyalty,ProcessedCustomerAcquisition
1,RightJoin,Merge,xml5.xml,ProductData.TransactionID  = InventoryData.TransactionID ,MergedData. FirstName  = CustomerInfo. FirstName ,CustomerInfo,CustomerInfo,TransactionHistory,ProcessedCustomerInfo
1,RightJoin,MultiCast,xml5.xml,ProductData.TransactionID  = InventoryData.TransactionID ,MergedData. FirstName  = TransactionHistory. FirstName ,TransactionHistory,CustomerInfo,TransactionHistory,ProcessedCustomerInfo
5,OuterJoin,Merge,xml6.xml,ProductData.RetentionID  = InventoryData.RetentionID ,MergedData.PreferenceID  = CustomerPreferences.PreferenceID ,CustomerPreferences,CustomerPreferences,CustomerRetention,ProcessedCustomerPreferences
5,RightJoin,Sort,xml6.xml,ProductData.RetentionID  = InventoryData.RetentionID ,MergedData.PreferenceID  = CustomerRetention.PreferenceID ,CustomerRetention,CustomerPreferences,CustomerRetention,ProcessedCustomerPreferences
4,InnerJoin,UnionAll,xml7.xml,ProductData.LogID  = InventoryData.LogID ,MergedData.SegmentID  = CustomerSegments.SegmentID ,CustomerSegments,CustomerSegments,CustomerSupportLogs,ProcessedCustomerSegments
4,InnerJoin,MultiCast,xml7.xml,ProductData.LogID  = InventoryData.LogID ,MergedData.SegmentID  = CustomerSupportLogs.SegmentID ,CustomerSupportLogs,CustomerSegments,CustomerSupportLogs,ProcessedCustomerSegments
