FlatFileSource_Name,FlatFileSource_ConnectionName,FlatFileSource_DataType,FlatFileSource_ColumnDelimiter,FlatFileSource_Property,FlatFileSource_Format,OleDbSource_Name,OleDbSource_ConnectionName,OleDbSource_ReadSolids,OleDbSource_Property,MergeJoinTransform_Name,MergeJoinTransform_JoinType,MergeJoinTransform_JoinInput,MergeJoinTransform_JoinCondition,LookupTransform_Name,LookupTransform_InputName,LookupTransform_DestinationName,LookupTransform_LookupOutputColumn,LookupTransform_LookupSource,LookupTransform_LookupCondition,ExpressionTransform_Name,ExpressionTransform_InputName,OleDbDestination_Name,OleDbDestination_ConnectionName,OleDbDestination_Property,FlatFileDestination_Name,FlatFileDestination_ConnectionName,FlatFileDestination_DataType,FlatFileDestination_Format,FlatFileDestination_Property,xml_filename
CategoryCatalog,s3a://source-delta-lake/CategoryCatalog/,Text,:,"[{'@Name': 'FileName', '#text': 'CategoryCatalog.csv'}, {'@Name': 'HeaderRowDelimiters', '#text': '""\\r\\n""'}]",,CategoryCatalog,DatabaseConnection,FALSE,"{'@Name': 'SqlCommand', '#text': 'SELECT CategoryID ,  CategoryName FROM CategoryCatalog'}",MergeJoin1,OuterJoin,"[{'@OutputName': 'ProductData', '@SourceName': 'CategoryCatalog'}, {'@OutputName': 'InventoryData', '@SourceName': 'PromotionDetails'}]",{'@JoinExpression': 'ProductData.PromotionID  = InventoryData.PromotionID '},LookupTransform1,MergedData,JoinedData,"{'@ColumnName': ' CategoryName', '@DataType': 'Int8'}","{'@Name': 'CategoryCatalog', '@ConnectionName': 'DatabaseConnection'}",{'@JoinExpression': 'MergedData.CategoryID  = CategoryCatalog.CategoryID '},ExpressionTransform1,LookUp,CategoryCatalog,DatabaseConnection,"[{'@Name': 'CategoryCatalog', '#text': 'ProcessedCategoryCatalog'}, {'@Name': 'PromotionDetails', '#text': 'ProcessedCategoryCatalog'}]",CategoryCatalog,s3://delta-lake/CategoryCatalog/,Text,Delimited,"[{'@Name': 'FileName', '#text': 'CategoryCatalog.csv'}, {'@Name': 'ColumnDelimiter', '#text': '"",""'}]",xml1.xml
PromotionDetails,s3a://source-delta-lake/data/PromotionDetails/,Text,:,"[{'@Name': 'FileName', '#text': 'PromotionDetails.txt'}, {'@Name': 'FixedWidthRecordLength', '#text': '130'}]",FixedWidth,PromotionDetails,DatabaseConnection,FALSE,"{'@Name': 'SqlCommand', '#text': 'SELECT PromotionID ,  ProductID FROM PromotionDetails limit 1000;'}",MergeJoin2,LeftJoin,"[{'@OutputName': 'ProductData', '@SourceName': 'CategoryCatalog'}, {'@OutputName': 'InventoryData', '@SourceName': 'PromotionDetails'}]",{'@JoinExpression': 'ProductData.PromotionID  = InventoryData.PromotionID '},LookupTransform2,MergedData,JoinedData,"{'@ColumnName': ' CategoryName', '@DataType': 'Float8'}","{'@Name': 'PromotionDetails', '@ConnectionName': 'DatabaseConnection'}",{'@JoinExpression': 'MergedData.CategoryID  = PromotionDetails.CategoryID '},ExpressionTransform2,Sort,PromotionDetails,DatabaseConnection,"[{'@Name': 'CategoryCatalog', '#text': 'ProcessedCategoryCatalog'}, {'@Name': 'PromotionDetails', '#text': 'ProcessedCategoryCatalog'}]",PromotionDetails,s3://delta-lake/PromotionDetails/,Text,Delimited,"[{'@Name': 'FileName', '#text': 'PromotionDetails.csv'}, {'@Name': 'ColumnDelimiter', '#text': '"",""'}]",xml1.xml
CompetitorAnalysis,s3://source-delta-lake/data/CompetitorAnalysis/,Text,:,"[{'@Name': 'FileName', '#text': 'CompetitorAnalysis.csv'}, {'@Name': 'HeaderRowDelimiters', '#text': '""\\r\\n""'}]",,CompetitorAnalysis,DatabaseConnection,FALSE,"{'@Name': 'SqlCommand', '#text': 'SELECT CompetitorID ,  AnalysisDate FROM CompetitorAnalysis order by competitor desc;'}",MergeJoin1,RightJoin,"[{'@OutputName': 'ProductData', '@SourceName': 'CompetitorAnalysis'}, {'@OutputName': 'InventoryData', '@SourceName': 'CompetitorPricing'}]",{'@JoinExpression': 'ProductData.PricingID  = InventoryData.PricingID '},LookupTransform1,MergedData,JoinedData,"{'@ColumnName': ' AnalysisDate', '@DataType': 'Float16'}","{'@Name': 'CompetitorAnalysis', '@ConnectionName': 'DatabaseConnection'}",{'@JoinExpression': 'MergedData.CompetitorID  = CompetitorAnalysis.CompetitorID '},ExpressionTransform1,Merge,CompetitorAnalysis,DatabaseConnection,"[{'@Name': 'CompetitorAnalysis', '#text': 'ProcessedCompetitorAnalysis'}, {'@Name': 'CompetitorPricing', '#text': 'ProcessedCompetitorAnalysis'}]",CompetitorAnalysis,s3://delta-lake/CompetitorAnalysis/,Text,Delimited,"[{'@Name': 'FileName', '#text': 'CompetitorAnalysis.csv'}, {'@Name': 'ColumnDelimiter', '#text': '"",""'}]",xml2.xml
CompetitorPricing,s3://source-delta-lake/CompetitorPricing/,Text,:,"[{'@Name': 'FileName', '#text': 'CompetitorPricing.txt'}, {'@Name': 'FixedWidthRecordLength', '#text': '130'}]",FixedWidth,CompetitorPricing,DatabaseConnection,FALSE,"{'@Name': 'SqlCommand', '#text': 'SELECT PricingID ,  CompetitorID FROM CompetitorPricing'}",MergeJoin2,InnerJoin,"[{'@OutputName': 'ProductData', '@SourceName': 'CompetitorAnalysis'}, {'@OutputName': 'InventoryData', '@SourceName': 'CompetitorPricing'}]",{'@JoinExpression': 'ProductData.PricingID  = InventoryData.PricingID '},LookupTransform2,MergedData,JoinedData,"{'@ColumnName': ' AnalysisDate', '@DataType': 'Text'}","{'@Name': 'CompetitorPricing', '@ConnectionName': 'DatabaseConnection'}",{'@JoinExpression': 'MergedData.CompetitorID  = CompetitorPricing.CompetitorID '},ExpressionTransform2,UnionAll,CompetitorPricing,DatabaseConnection,"[{'@Name': 'CompetitorAnalysis', '#text': 'ProcessedCompetitorAnalysis'}, {'@Name': 'CompetitorPricing', '#text': 'ProcessedCompetitorAnalysis'}]",CompetitorPricing,s3://delta-lake/CompetitorPricing/,Text,Delimited,"[{'@Name': 'FileName', '#text': 'CompetitorPricing.csv'}, {'@Name': 'ColumnDelimiter', '#text': '"",""'}]",xml2.xml
ComplianceRecords,s3a://source-delta-lake/data/ComplianceRecords/,Text,:,"[{'@Name': 'FileName', '#text': 'ComplianceRecords.parquet'}, {'@Name': 'HeaderRowDelimiters', '#text': '""\\r\\n""'}]",,ComplianceRecords,DatabaseConnection,FALSE,"{'@Name': 'SqlCommand', '#text': 'SELECT RecordID ,  ComplianceType FROM ComplianceRecords where RecordID = 12'}",MergeJoin1,LeftJoin,"[{'@OutputName': 'ProductData', '@SourceName': 'ComplianceRecords'}, {'@OutputName': 'InventoryData', '@SourceName': 'LegalCompliance'}]",{'@JoinExpression': 'ProductData.ComplianceID  = InventoryData.ComplianceID '},LookupTransform1,MergedData,JoinedData,"{'@ColumnName': ' ComplianceType', '@DataType': 'Int64'}","{'@Name': 'ComplianceRecords', '@ConnectionName': 'DatabaseConnection'}",{'@JoinExpression': 'MergedData.RecordID  = ComplianceRecords.RecordID '},ExpressionTransform1,LookUp,ComplianceRecords,DatabaseConnection,"[{'@Name': 'ComplianceRecords', '#text': 'ProcessedComplianceRecords'}, {'@Name': 'LegalCompliance', '#text': 'ProcessedComplianceRecords'}]",ComplianceRecords,s3://delta-lake/ComplianceRecords/,Text,Delimited,"[{'@Name': 'FileName', '#text': 'ComplianceRecords.csv'}, {'@Name': 'ColumnDelimiter', '#text': '"",""'}]",xml3.xml
LegalCompliance,s3://source-delta-lake/LegalCompliance/,Text,:,"[{'@Name': 'FileName', '#text': 'LegalCompliance.txt'}, {'@Name': 'FixedWidthRecordLength', '#text': '190'}]",FixedWidth,LegalCompliance,DatabaseConnection,FALSE,"{'@Name': 'SqlCommand', '#text': 'SELECT ComplianceID ,  ComplianceType FROM LegalCompliance limit 24000'}",MergeJoin2,RightJoin,"[{'@OutputName': 'ProductData', '@SourceName': 'ComplianceRecords'}, {'@OutputName': 'InventoryData', '@SourceName': 'LegalCompliance'}]",{'@JoinExpression': 'ProductData.ComplianceID  = InventoryData.ComplianceID '},LookupTransform2,MergedData,JoinedData,"{'@ColumnName': ' ComplianceType', '@DataType': 'Float16'}","{'@Name': 'LegalCompliance', '@ConnectionName': 'DatabaseConnection'}",{'@JoinExpression': 'MergedData.RecordID  = LegalCompliance.RecordID '},ExpressionTransform2,MergeJoin,LegalCompliance,DatabaseConnection,"[{'@Name': 'ComplianceRecords', '#text': 'ProcessedComplianceRecords'}, {'@Name': 'LegalCompliance', '#text': 'ProcessedComplianceRecords'}]",LegalCompliance,s3://delta-lake/LegalCompliance/,Text,Delimited,"[{'@Name': 'FileName', '#text': 'LegalCompliance.csv'}, {'@Name': 'ColumnDelimiter', '#text': '"",""'}]",xml3.xml
CustomerAcquisition,s3a://source-delta-lake/data/CustomerAcquisition/,Text,;,"[{'@Name': 'FileName', '#text': 'CustomerAcquisition.csv.gzip'}, {'@Name': 'HeaderRowDelimiters', '#text': '""\\r\\n""'}]",,CustomerAcquisition,DatabaseConnection,FALSE,"{'@Name': 'SqlCommand', '#text': 'SELECT AcquisitionID ,  AcquisitionDate FROM CustomerAcquisition'}",MergeJoin1,InnerJoin,"[{'@OutputName': 'ProductData', '@SourceName': 'CustomerAcquisition'}, {'@OutputName': 'InventoryData', '@SourceName': 'CustomerLoyalty'}]",{'@JoinExpression': 'ProductData.LoyaltyID  = InventoryData.LoyaltyID '},LookupTransform1,MergedData,JoinedData,"{'@ColumnName': ' AcquisitionDate', '@DataType': 'Int32'}","{'@Name': 'CustomerAcquisition', '@ConnectionName': 'DatabaseConnection'}",{'@JoinExpression': 'MergedData.AcquisitionID  = CustomerAcquisition.AcquisitionID '},ExpressionTransform1,MultiCast,CustomerAcquisition,DatabaseConnection,"[{'@Name': 'CustomerAcquisition', '#text': 'ProcessedCustomerAcquisition'}, {'@Name': 'CustomerLoyalty', '#text': 'ProcessedCustomerAcquisition'}]",CustomerAcquisition,s3://delta-lake/CustomerAcquisition/,Text,Delimited,"[{'@Name': 'FileName', '#text': 'CustomerAcquisition.csv'}, {'@Name': 'ColumnDelimiter', '#text': '"",""'}]",xml4.xml
CustomerLoyalty,s3a://source-delta-lake/CustomerLoyalty/,Text,;,"[{'@Name': 'FileName', '#text': 'CustomerLoyalty.txt'}, {'@Name': 'FixedWidthRecordLength', '#text': '170'}]",FixedWidth,CustomerLoyalty,DatabaseConnection,FALSE,"{'@Name': 'SqlCommand', '#text': 'SELECT LoyaltyID ,  CustomerID FROM CustomerLoyalty'}",MergeJoin2,OuterJoin,"[{'@OutputName': 'ProductData', '@SourceName': 'CustomerAcquisition'}, {'@OutputName': 'InventoryData', '@SourceName': 'CustomerLoyalty'}]",{'@JoinExpression': 'ProductData.LoyaltyID  = InventoryData.LoyaltyID '},LookupTransform2,MergedData,JoinedData,"{'@ColumnName': ' AcquisitionDate', '@DataType': 'Float64'}","{'@Name': 'CustomerLoyalty', '@ConnectionName': 'DatabaseConnection'}",{'@JoinExpression': 'MergedData.AcquisitionID  = CustomerLoyalty.AcquisitionID '},ExpressionTransform2,UnionAll,CustomerLoyalty,DatabaseConnection,"[{'@Name': 'CustomerAcquisition', '#text': 'ProcessedCustomerAcquisition'}, {'@Name': 'CustomerLoyalty', '#text': 'ProcessedCustomerAcquisition'}]",CustomerLoyalty,s3://delta-lake/CustomerLoyalty/,Text,Delimited,"[{'@Name': 'FileName', '#text': 'CustomerLoyalty.csv'}, {'@Name': 'ColumnDelimiter', '#text': '"",""'}]",xml4.xml
CustomerInfo,s3a://source-delta-lake/data/CustomerInfo/,Text,",","[{'@Name': 'FileName', '#text': 'CustomerInfo.parquet'}, {'@Name': 'HeaderRowDelimiters', '#text': '""\\r\\n""'}]",,CustomerInfo,DatabaseConnection,FALSE,"{'@Name': 'SqlCommand', '#text': 'SELECT  FirstName ,  FirstName FROM CustomerInfo group by 1,2'}",MergeJoin1,RightJoin,"[{'@OutputName': 'ProductData', '@SourceName': 'CustomerInfo'}, {'@OutputName': 'InventoryData', '@SourceName': 'TransactionHistory'}]",{'@JoinExpression': 'ProductData.TransactionID  = InventoryData.TransactionID '},LookupTransform1,MergedData,JoinedData,"{'@ColumnName': ' FirstName', '@DataType': 'Float8'}","{'@Name': 'CustomerInfo', '@ConnectionName': 'DatabaseConnection'}",{'@JoinExpression': 'MergedData. FirstName  = CustomerInfo. FirstName '},ExpressionTransform1,Merge,CustomerInfo,DatabaseConnection,"[{'@Name': 'CustomerInfo', '#text': 'ProcessedCustomerInfo'}, {'@Name': 'TransactionHistory', '#text': 'ProcessedCustomerInfo'}]",CustomerInfo,s3://delta-lake/CustomerInfo/,Text,Delimited,"[{'@Name': 'FileName', '#text': 'CustomerInfo.csv'}, {'@Name': 'ColumnDelimiter', '#text': '"",""'}]",xml5.xml
TransactionHistory,s3a://source-delta-lake/data/TransactionHistory/,Text,:,"[{'@Name': 'FileName', '#text': 'TransactionHistory.txt'}, {'@Name': 'FixedWidthRecordLength', '#text': '100'}]",FixedWidth,TransactionHistory,DatabaseConnection,FALSE,"{'@Name': 'SqlCommand', '#text': 'SELECT TransactionID ,  CustomerID FROM TransactionHistory limit 12000'}",MergeJoin2,RightJoin,"[{'@OutputName': 'ProductData', '@SourceName': 'CustomerInfo'}, {'@OutputName': 'InventoryData', '@SourceName': 'TransactionHistory'}]",{'@JoinExpression': 'ProductData.TransactionID  = InventoryData.TransactionID '},LookupTransform2,MergedData,JoinedData,"{'@ColumnName': ' FirstName', '@DataType': 'Text'}","{'@Name': 'TransactionHistory', '@ConnectionName': 'DatabaseConnection'}",{'@JoinExpression': 'MergedData. FirstName  = TransactionHistory. FirstName '},ExpressionTransform2,MultiCast,TransactionHistory,DatabaseConnection,"[{'@Name': 'CustomerInfo', '#text': 'ProcessedCustomerInfo'}, {'@Name': 'TransactionHistory', '#text': 'ProcessedCustomerInfo'}]",TransactionHistory,s3://delta-lake/TransactionHistory/,Text,Delimited,"[{'@Name': 'FileName', '#text': 'TransactionHistory.csv'}, {'@Name': 'ColumnDelimiter', '#text': '"",""'}]",xml5.xml
